(Init+Final,DTapn Shared)
(156,1.582)
(184,2.923)
(212,5.176)
(236,7.861)
(264,12.288)
(292,17.985)
(316,28.459)
(344,34.517)
(372,45.414)
(396,57.339)
(424,93.519)
(452,96.262)
(476,142.409)
(504,147.75900000000001)
(532,178.548)
(556,209.927)
(584,309.289)
(612,322.096)
(636,392.909)
(664,481.118)
(692,-1)
(716,-1)
(744,-1)

