(Init+Final,Netsynth Shared)
(156,4.516)
(184,5.992)
(212,10.159)
(236,15.103)
(264,23.089)
(292,33.209)
(316,44.608)
(344,61.915)
(372,82.99)
(396,105.91)
(424,137.718)
(452,175.872)
(476,216.115)
(504,275.078)
(532,345.521)
(556,413.463)
(584,504.579)
(612,611.514)
(636,714.762)
(664,863.2)
(692,900.011)
(716,900.008)
(744,900.009)

