(Init+Final,Netsynth Worst)
(6,0.084)
(12,0.06)
(18,0.15)
(24,0.056)
(30,0.124)
(36,0.094)
(42,0.126)
(48,1.235)
(96,0.101)
(144,0.064)
(198,0.103)
(246,0.14)
(294,0.155)
(348,0.246)
(396,0.266)
(594,0.602)
(798,1.315)
(996,2.152)
(1194,3.502)
(1398,5.399)
(1596,7.739)
(1794,10.912)
(1998,14.905)
(3996,110.00399999999999)
(5994,363.043)
(7998,853.409)
(9996,900.005)

