(Init+Final,Netsynth Disjoint)
(104,0.243)
(204,0.518)
(304,1.322)
(404,2.824)
(504,5.54)
(604,9.829)
(704,16.264)
(804,25.764)
(904,38.785)
(1004,55.86)
(1104,78.551)
(1204,106.696)
(1304,143.311)
(1404,188.12)
(1504,244.367)
(1604,311.14)
(1704,393.77)
(1804,490.906)
(1904,605.52)
(2004,737.343)
(2104,899.949)

