(Init+Final,DTapn Disjoint)
(104,0.051)
(204,0.343)
(304,0.084)
(404,0.124)
(504,0.187)
(604,0.247)
(704,0.268)
(804,0.304)
(904,0.361)
(1004,0.421)
(1104,0.499)
(1204,0.553)
(1304,0.645)
(1404,0.718)
(1504,0.795)
(1604,0.915)
(1704,1.02)
(1804,1.192)
(1904,1.239)
(2004,1.486)
(2104,1.687)
(4004,5.975)
(6004,14.197)
(8004,26.461)
(10004,41.875)
(12004,61.531)
(14004,83.503)
(16004,117.116)
(18004,144.297)
(20004,187.556)

